UniTCM_herb_ID,herb_english_name,herb_chinese_name,herb_pinyin_name,herb_alias_name_ch,herb_alias_name_en,herb_latin_name,source,herb_tcmbank_id,TCMID_id,TCM_ID_id,SymMap_id,TCMSP_id,Herb_ID,TCMKD_ID,flavors,properties,Meridians,medicinal_part,efficacy,Indication,Toxicity,Clinical_manifestations,Therapeutic_en_class,Therapeutic_cn_class,acquisition_time,Standards_for_Medicinal_Use,family,producer,Origin_text,PMID
34,Panax ginseng,人参果实,REN SHEN GUO SHI,,,,paper;book_batch2,,,,,,,,,,,,,,,,,,,,,,,10898155;12539190;12776363;18409046;19655726;21348309;21491596;22819050;23212787;24380303;24856763;26398424;27288199;28649066;28925115;29150823;31212627;32544758;34227320;36903317;37163941;38107400;39041086;40721727;41330457;36875431;32808367;31083349;20171644;28861969;38812177
57,Panax ginseng C. A. Meyer,人参,REN SHEN,野山参;园参;棒槌,Ginseng;Asian Ginseng;Korean Ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,11080895;36244638
58,Panax quinquefolius L.,西洋参,XI YANG SHEN,花旗参;广东人参;西洋人参,American ginseng;Panax quinquefolium,,paper,,,,,,,,,,,,,,,,,,,,,,,11080895;31729585;35340764;39221485;39681202;39834138
66,ginseng,人参,REN SHEN,,人街; 鬼盖; 黄参; 玉精; 血参; 土精; 地精; 金井玉阑; 孩儿参; 棒锤,Radix Ginseng,TCMbank,TCMBANKHE004260,SMHB00336,3861,336,594,HERB004609,TCMH3538,Minor Warm;Sweet;Slightly Bitter,Slightly warm,Lung; Spleen; Heart,root,"To reinforce the vital energy, to remedy collapse and restore the normal pulse, to benefit the spleen and lung, to promote the production of body fluid, and to calm the nerves.","Qi vacuity and verging on desertion, cold limbs and faint pulse, reduced food intake due to spleen vacuity, cough and asthma due to lung vacuity, fluid damage and thirst, diabetes mellitus due to internal heat, enduring illness qi vacuity, fright palpitation and insomnia, impotence, uterus cold, cardiac failure.",,1. Acting on the central nervous system including excitation and inhibition processes.2. Exerting significant cardiotonic and hypertensive effects on acute circulatory failure cardiotonic and hypertensive effects on acute circulatory failure after heavy b,Qi-tonifying medicines,补气药,Collected in the autumn.,The best ones have light yellow-white cross-sections with many resin canals.,Araliaceae,"吉林,辽宁,黑龙江",中药人参，别名为人衔，鬼盖（《本经》），土精，神草，黄参，血参（《吴普本草》），地精（《广雅》），百尺杵（《本草图经》），海腴，金井玉阑，孩儿参（《纲目》），棒棰（《辽宁主要药材》）。性微温，味甘，微苦，属五加科，药用部位为根，秋季采收。 主要功效为大补元气、复脉固脱、补脾益肺、生津养血、安神益智。,11141123;21913262;23238997;23984628;24645503;24854551;25423813;25480518;26717745;28867225;29576053;30159954;30978651;37703763;40738293
86,Panax,人参属,REN SHEN SHU,人参属植物,Ginseng genus,,paper,,,,,,,,,,,,,,,,,,,,,,,11382666
156,Panax ginseng C.A. Meyer,人参,REN SHEN,园参;红参;生晒参;野山参,Ginseng;Asian Ginseng;Korean Ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,12091100
186,Panax notoginseng,三七,SAN QI,,,,paper;book_batch2,,,,,,,,,,,,,,,,,,,,,,,12539190;12776363;14705886;15127621;15551962;16248538;16479924;18323204;18995982;19048608;20079593;20432895;22428154;22819050;23373218;23524165;23561171;24558875;25426727;25677722;25778929;26593895;27114315;27935213;28929655;29395157;30805999;31212627;32320608;32422355;32449854;33475178;34062093;34839132;34868157;35700628;36709617;37163941;37413835;37716488;37895482;38176668;39381219;39821246;41431298;38967135;34182413;27037605;35684502;38812177
304,Radix Notoginseng,三七,SAN QI,田七;山漆;金不换,Panax notoginseng;Notoginseng Root,,paper,,,,,,,,,,,,,,,,,,,,,,,15714813
318,Radix ginseng,人参,REN SHEN,园参;山参;棒槌,Panax ginseng;Ginseng Root,,paper,,,,,,,,,,,,,,,,,,,,,,,15881327;19471880;20939186;24107599;25997236;28804502
475,Panax notoginseng (Burk.) F.H. Chen,三七,SAN QI,田七;田三七;参三七,Notoginseng;Sanchi;Pseudoginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,17238214
