Submission ID,Project Title,Short Abstract,Keywords,TCM Classification,Omics Type,Source Type,Organism,Tissue,Disease,Repository,Publication Year,Sample Number,Submitted By,Institution,View Count,Like Count,Downloads,Updated At
tcmomics000005,A systematic exploration on Ginsenoside Rg5 reveals proresolving functions in airway mucous cells.,"Ginsenoside Rg5 demonstrates proresolving functions in airway mucous cells by inhibiting ROS production and promoting anti-inflammatory factors, suggesting its potential therapeutic role.",Ginsenoside Rg5; proresolving functions; airway mucous cells; ROS; anti-inflammation,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,,GEO,2023,4,5,Gwangju Institute of Science and Technology,0,0,0,
tcmomics000003,A Deep Learning based Efficacy Prediction System for Drug Discovery [Perillen],"A deep-learning system (DLEPS) predicts drug efficacy from transcriptional profiles. It validated compounds like perillen and liquiritin for obesity, hyperuricemia, NASH, and COVID-19. DLEPS offers a novel approach for drug repurposing and discovery, especially for diseases lacking clear targets.",Deep Learning; Efficacy Prediction; Drug Discovery; Drug Repurposing; Perillen; Chikusetsusaponin IV; Liquiritin; Transcriptional Profiles; Disease Treatment,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,hyperuricemia,GEO,2023,9,3,Peking University School of Medicine,0,0,0,
tcmomics000925,Natural product inhibition of SARS-CoV-2 guanine-N7 RNA cap methyltransferase shows potent cellular antiviral efficacy,"Natural products Emodin and Questin inhibit SARS-CoV-2 NSP14, a viral RNA cap methyltransferase. Questin demonstrates potent cellular antiviral efficacy by impairing viral replication and reversing host transcriptome remodeling, establishing it as a promising drug lead.",SARS-CoV-2;NSP14;guanine-N7 RNA cap methyltransferase;Emodin;Questin;antiviral;natural product,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,SARS-CoV-2 infection,GEO,2024,8,925,Zhejiang University,0,0,0,
tcmomics000011,"Androgen-starved LNCaP cells treated with celastrol and androgen, androgen alone, or vehicle alone for 24h","Celastrol, a natural product, affects LNCaP androgen-signaling and the androgen-responsive program of gene expression. Microarrays detail these changes in androgen-starved LNCaP cells after 24 hours of treatment.",celastrol;LNCaP cells;androgen-signaling;gene expression;microarrays,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,prostate cancer,GEO,2017,9,11,Broad Institute of Harvard and MIT,0,0,0,
tcmomics000280,Effect of Astragalus Polysaccharide Combined with Metformin on Liver mRNA expression profile in aging type 2 diabetic mice and functional analysis,"This study investigates the effect of Astragalus Polysaccharide combined with metformin on liver mRNA expression profiles in aging type 2 diabetic mice. It explores the molecular mechanisms by analyzing differential genes and signaling pathways, suggesting a significant role of gene regulatory networks in their combined therapeutic intervention.",Astragalus Polysaccharide; metformin; type 2 diabetes; aging; liver mRNA expression; molecular mechanism,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,type 2 diabetes,GEO,2019,4,280,甘肃中医药大学,0,0,0,
tcmomics000017,Berberine mitigates 5-fluorouracil-induced intestinal mucosal damage without impairing anti-tumor effect of 5-Fu by regulating the intestinal flora,"This study investigates how Berberine mitigates 5-fluorouracil-induced intestinal mucosal damage in mice. It explores Berberine's mechanism in improving intestinal mucosa without compromising 5-Fu's anti-tumor effect, potentially by regulating intestinal flora.",Berberine;5-fluorouracil;intestinal mucosal damage;intestinal flora;anti-tumor effect,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,,GEO,2024,6,17,"The Second Clinical Medical College, Zhejiang Chinese Medical  University",0,0,0,
tcmomics000015,Banzhilian Formula alleviates psoriasis like lesions via the LCN2/MMP-9 axis based on transcriptome analysis,"External Banzhilian Formula (BZLF) alleviates IMQ-induced psoriasis-like lesions in mice by inhibiting Ki67 and inflammatory factors. Transcriptome analysis shows BZLF down-regulates the LCN2/MMP-9 axis, providing a mechanistic basis for its clinical application.",Banzhilian Formula;psoriasis;LCN2;MMP-9;transcriptome analysis;external application,Modern formula,Transcriptomics,manual collect,Mus musculus,,psoriasis,GEO,2023,12,15,Shanxi Hospital of Traditional Chinese Medicine,0,0,0,
tcmomics000018,Bioinformatics analysis of miRNAs and mRNAs network - Xuefu Zhuyu decoction exerts neuroprotection of traumatic brain injury mice through modulation of MAPK signaling pathway,"Xuefu Zhuyu decoction (XFZYD) treats traumatic brain injury (TBI) by improving neurological deficits and cognitive function. Bioinformatics analysis reveals XFZYD modulates the MAPK signaling pathway through miRNAs, offering insights into its neuroprotective mechanisms.",Xuefu Zhuyu decoction;traumatic brain injury;neuroprotection;MAPK signaling pathway;bioinformatics;miRNAs,Classic formula,Transcriptomics,manual collect,Mus musculus,,traumatic brain injury,GEO,2025,10,18,xiangya hospital,0,0,0,
tcmomics000019,Bioinformatics Reveal the Potential Molecular Mechanism of Agrimol B against Osteosarcoma,This study aims to investigate the molecular mechanism of Agrimol B in inhibiting osteosarcoma cells. Researchers intervened HOS cell line with Agrimol B for 24 hours to explore its potential anti-cancer effects using bioinformatics approaches.,Agrimol B;osteosarcoma;molecular mechanism;bioinformatics;HOS cell line,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,osteosarcoma,GEO,2024,6,19,"Department of Orthopedics, Shanghai Tenth People's Hospital, Tongji University School of Medicine",0,0,0,
tcmomics000020,Boswellic acid formulations are not suitable for additive treatment of pediatric high-grade glioma,"Boswellic acids (BA) formulations, particularly AKBA, showed limited anti-tumor effects in pediatric high-grade glioma (pedHGG) cell lines, with alpha-BA and beta-BA potentially promoting tumor growth. Overall, BA are not suitable for additive treatment of pedHGG.",Boswellic acid;pediatric high-grade glioma;AKBA;alpha-boswellic acid;beta-boswellic acid;anti-tumor effects;complementary and alternative medicine,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,pediatric high-grade glioma,GEO,2023,6,20,Universitaetsmedizin Goettingen,0,0,0,
