endpoint,value
log_s,-4.31196734051554
log_d,3.42656414913567
log_p,4.37182936576118
mp,174.019572004948
bp,316.582149146716
pka_acidic,5.66729231530282
pka_basic,4.38299449129177
caco2,-4.79277967997651
mdck,-4.8368431528201
pampa,0.0658466219902038
pgp_inh,0.236815199255943
pgp_sub,0.0004207646998111
hia,0.0002867579460144
f20,0.0019426941871643
f30,0.0070627331733703
f50,0.157341361045837
oatp1b1,0.85171502828598
oatp1b3,0.903089821338653
bcrp,0.0025854264385998
bsep,0.997592389583587
bbb,0.0467703677713871
mrp1,0.999093413352966
ppb,97.857117491095
log_vdss,-0.287430263850156
fu,2.51068641659283
cyp1a2_inh,1.97972567548276e-05
cyp1a2_sub,0.36806035041809
cyp2c19_inh,0.0032237223349511
cyp2c19_sub,0.958456993103027
cyp2c9_inh,0.0019601404201239
cyp2c9_sub,0.76380181312561
cyp2d6_inh,7.81558192102238e-05
cyp2d6_sub,4.31291846325621e-05
cyp3a4_inh,0.0009414037922397
cyp3a4_sub,0.468305379152298
cyp2b6_inh,0.977625131607055
cyp2c8_inh,0.570223331451416
lm_human,0.495558619499206
cl_plasma,3.11549722600522
t0_5,0.866334253278228
bcf,1.47105016982523
igc50,4.22732499611601
lc50dm,5.58852874698587
lc50fm,4.98954414117269
herg,0.0374311693012714
herg_10um,0.188434392213821
dili,0.220051288604736
ames,0.0767868012189865
roa,0.205503612756729
fdamdd,0.516513526439666
skin_sen,0.573225438594818
carcinogenicity,0.298527389764785
ec,0.301602125167846
ei,0.87296038866043
respiratory,0.697616338729858
h_ht,0.487098902463912
neurotoxicity_di,0.175193548202514
ototoxicity,0.725842535495758
hematotoxicity,0.346151858568191
nephrotoxicity_di,0.322403401136398
genotoxicity,0.0159844905138015
rpmi_8226,0.0422292463481426
a549,0.0384809151291847
hek293,0.0679283440113067
nr_ahr,6.70288718538358e-05
nr_ar,1.19942196761257e-05
nr_ar_lbd,2.82547620855666e-08
nr_aromatase,0.0007639045943506
nr_er,0.0560564287006855
nr_er_lbd,0.0003604159865062
nr_ppar_gamma,0.0036224857904016
sr_are,0.311509609222412
sr_atad5,1.5803984751983e-06
sr_hse,0.0066539314575493
sr_mmp,0.0387816913425922
sr_p53,0.0001476920733693
admet_mw,302.22
vol,338.477863641418
dense,0.892879660574111
nha,2
nhd,1
admet_tpsa,37.3
nrot,2
nring,3
maxring,14
nhet,2
fchar,0
nrig,17
flex,0.117647058823529
nstereo,4
admet_qed,0.76
synth,4.171
admet_fsp3,0.75
mce18,54.0
natural_product_likeness,2.868
lipinski_rule,0
pfizer,1
gsk,1
golden_triangle,0
alarm_nmr,[]
bms,[]
chelating,[]
pains,[]
ld50_oral,[]
sure_chembl,[]
non_genotoxic_carcinogenicity,[]
toxicophores,[]
non_biodegradable,[]
acute_aquatic_toxicity,[]
genotoxic_carcinogenicity_mutagenicity,[]
skin_sensitization,[]
