tcm_id,name,name_cn,level,path,parent_id,definition,synonyms,synonyms_cn,xref_umls,xref_snomed,xref_icd11,xref_mesh
TCM:0000001,Traditional Chinese Medicine,中国传统医药,0,Traditional_Chinese_Medicine,,The root entity encompassing all concepts in Traditional Chinese Medicine and Ethnic Traditional Medicine of China,,,,,,
TCM:0100000,Materia Medica,中药,1,Traditional_Chinese_Medicine.Materia_Medica,TCM:0000001,"Medicinal substances used in TCM including herbs, minerals, and animal products",,,C0013227,419666003,,
TCM:0200000,Formulas and Preparations,方剂与制剂,1,Traditional_Chinese_Medicine.Formulas_and_Preparations,TCM:0000001,Compound prescriptions and manufactured preparations,,,C0013058,,,
TCM:0300000,Therapeutic Techniques,治疗技术,1,Traditional_Chinese_Medicine.Therapeutic_Techniques,TCM:0000001,Non-pharmaceutical treatment methods in TCM,,,C0087111,,,
TCM:0400000,Theoretical Concepts,理论概念,1,Traditional_Chinese_Medicine.Theoretical_Concepts,TCM:0000001,Fundamental theories and conceptual frameworks of TCM,,,,,TM1,
TCM:0500000,Diagnostic Methods,诊断方法,1,Traditional_Chinese_Medicine.Diagnostic_Methods,TCM:0000001,Methods and findings used in TCM diagnosis,,,C0011900,,,
TCM:0600000,Diseases and Patterns,病证,1,Traditional_Chinese_Medicine.Diseases_and_Patterns,TCM:0000001,Disease entities and syndrome patterns in TCM,,,,,TM1,
TCM:0700000,Anatomical Concepts,解剖概念,1,Traditional_Chinese_Medicine.Anatomical_Concepts,TCM:0000001,Body structures and locations in TCM context,,,,,,
TCM:0800000,TCM Pharmacology,中药药理,1,Traditional_Chinese_Medicine.TCM_Pharmacology,TCM:0000001,Pharmacological properties and classifications of TCM substances,,,,,,
TCM:0900000,Integration and Modernization,整合与现代化,1,Traditional_Chinese_Medicine.Integration_and_Modernization,TCM:0000001,Modern developments and integrative approaches,,,,,,
TCM:1000000,Classical Texts and Heritage,经典文献与传承,1,Traditional_Chinese_Medicine.Classical_Texts_and_Heritage,TCM:0000001,Historical texts and knowledge transmission,,,,,,
TCM:1100000,Regulatory and Standards,法规与标准,1,Traditional_Chinese_Medicine.Regulatory_and_Standards,TCM:0000001,Regulatory frameworks and standards for TCM,,,,,,
